source,generic_drug_name,dosage_form,30_day_cost,Link
CostPlusDrugs,Albuterol Sulfate,Nebulization Solution,$16.41 ,https://costplusdrugs.com/medications/albuterol-sulfate-1_25mg_3ml-inhalation-suspension-75ml/
CostPlusDrugs,Albuterol Sulfate,Tablet,$9.87 ,https://costplusdrugs.com/medications/albuterol-sulfate-4mg-tablet-proventil/
CostPlusDrugs,Alclometasone Dipropionate,Tube of Cream,$19.58 ,https://costplusdrugs.com/medications/alclometasone-dipropionate-0_05-tube-of-ointment-45-aclovate/
CostPlusDrugs,Alendronate Sodium,Tablet,$7.62 ,https://costplusdrugs.com/medications/alendronate-sodium-70mg-75ml-bottle-of-solution-75-fosamax/
CostPlusDrugs,Alfuzosin HCl ER,Extended Release Tablet,$7.17 ,https://costplusdrugs.com/medications/alfuzosinhcler-10mg-tablet/
CostPlusDrugs,Aliskiren Fumarate,Tablet,$99.93 ,https://costplusdrugs.com/medications/aliskiren-fumarate-300mg-tablet-tekturna/
CostPlusDrugs,Allopurinol,Tablet,$5.59 ,https://costplusdrugs.com/medications/allopurinol-300mg-tablet/
CostPlusDrugs,Almotriptan Malate,Tablet,$341.43 ,https://costplusdrugs.com/medications/almotriptan-malate-6_25mg-tablet-axert/
CostPlusDrugs,Alosetron HCl,Tablet,$43.55 ,https://costplusdrugs.com/medications/alosetron-hcl-1mg-tablet-lotronex/
CostPlusDrugs,Amantadine HCl,Capsule,$7.67 ,https://costplusdrugs.com/medications/amantadine-hcl-50mg-5ml-bottle-of-solution-473-symmetrel/
CostPlusDrugs,Amiloride HCl,Tablet,$9.96 ,https://costplusdrugs.com/medications/amiloride-hcl-5mg-tablet-midamor/
CostPlusDrugs,Amiloride-Hydrochlorothiazide,Tablet,$18.14 ,https://costplusdrugs.com/medications/amiloride-hydrochlorothiazide-5-50mg-tablet-moduretic/
CostPlusDrugs,Aminocaproic Acid,Tablet,$292.50 ,https://costplusdrugs.com/medications/aminocaproic-acid-500mg-tablet-amicar/
CostPlusDrugs,Amiodarone HCl,Tablet,$11.04 ,https://costplusdrugs.com/medications/amiodarone-hcl-400mg-tablet/
CostPlusDrugs,Amitriptyline,Tablet,$7.93 ,https://costplusdrugs.com/medications/amitriptyline-75mg-tablet/
CostPlusDrugs,Amlodipine,Tablet,$5.30 ,https://costplusdrugs.com/medications/amlodipine-5mg-tablet/
CostPlusDrugs,Amlodipine-Atorvastatin,Tablet,$19.87 ,https://costplusdrugs.com/medications/amlodipine-atorvastatin-5-80mg-tablet-caduet/
CostPlusDrugs,Amlodipine Besylate-Benazepril HCl,Capsule,$8.20 ,https://costplusdrugs.com/medications/amlodipinebesylate-benazeprilhcl-5mg-20mg-capsule/
CostPlusDrugs,Amlodipine Besylate-Valsartan,Tablet,$21.74 ,https://costplusdrugs.com/medications/amlodipine-besylate-valsartan-5-320mg-tablet-exforge/
CostPlusDrugs,Amlodipine-Olmesartan,Tablet,$8.74 ,https://costplusdrugs.com/medications/amlodipine-olmesartan-5-40mg-tablet-azor/
CostPlusDrugs,Amlodipine-Valsartan-HCTZ,Tablet,$277.33 ,https://costplusdrugs.com/medications/amlodipine-valsartan-hctz-5-160-25mg-tablet-exforge-hct/
CostPlusDrugs,Ammonium Lactate,Bottle of Cream,$42.25 ,https://costplusdrugs.com/medications/ammonium-lactate-12-bottle-of-cream-385-lac-hydrin/
CostPlusDrugs,Amoxapine,Tablet,$43.71 ,https://costplusdrugs.com/medications/amoxapine-50mg-tablet-asendin/
CostPlusDrugs,Amoxicillin-Pot Clavulanate,Chewable Tablet,$83.30 ,https://costplusdrugs.com/medications/amoxicillin-pot-clavulanate-200-28_5mg-tablet-chewable-augmentin/
CostPlusDrugs,Amoxicillin-Pot Clavulanate ER,Extended Release Tablet,$205.68 ,https://costplusdrugs.com/medications/amoxicillin-pot-clavulanate-er-1000-62_5mg-extended-release-tablet-augmentin-xr/
CostPlusDrugs,Amoxicillin (Trihydrate),Capsule,$6.42 ,https://costplusdrugs.com/medications/amoxicillin-500mg-capsule-amoxil/
CostPlusDrugs,Ampicillin,Capsule,$20.58 ,https://costplusdrugs.com/medications/ampicillin-500mg-capsule-principen/
CostPlusDrugs,Anagrelide HCl,Bottle of Capsules,$82.62 ,https://costplusdrugs.com/medications/anagrelide-hcl-1mg-bottle-of-capsules-100-agrylin/
CostPlusDrugs,Anastrozole,Tablet,$7.49 ,https://costplusdrugs.com/medications/Anastrozole-1mg-Tablet/
CostPlusDrugs,Apidra,Solution,,https://costplusdrugs.com/medications/apidra-100-unit_ml-solution-10-apidra/
CostPlusDrugs,Apraclonidine HCl,Solution Dropper,$136.70 ,https://costplusdrugs.com/medications/apraclonidine-hcl-0_50-solution-dropper-10-iopidine/
CostPlusDrugs,Aprepitant,Pack of Capsules,$209.80 ,https://costplusdrugs.com/medications/aprepitant-80-125mg-pack-of-capsules-3-emend-tri-pack/
CostPlusDrugs,Aprepitant,Capsule,"$1,608.90 ",https://costplusdrugs.com/medications/aprepitant-80mg-capsule/
CostPlusDrugs,Arformoterol Tartrate,Nebulization Solution,$52.67 ,https://costplusdrugs.com/medications/arformoterol-tartrate-15mcg-2ml-nebulization-solution-2-brovana/
CostPlusDrugs,Aripiprazole,Bottle of Disintegrating Tablets,$41.80 ,https://costplusdrugs.com/medications/aripiprazole-15mg-bottle-of-disintegrating-tablets-30-abilify-discmelt/
CostPlusDrugs,Aripiprazole,Tablet,$7.76 ,https://costplusdrugs.com/medications/aripiprazole-5mg-tablet/
CostPlusDrugs,Asenapine Maleate,Carton of Sublingual Tablets,$67.31 ,https://costplusdrugs.com/medications/asenapine-maleate-5mg-carton-of-sublingual-tablets-60-saphris/
CostPlusDrugs,Aspirin,Tablet Chewable,$5.98 ,https://costplusdrugs.com/medications/aspirin-81mg-tablet-chewable-aspirin/
CostPlusDrugs,Aspirin-Dipyridamole ER,Bottle of Extended Release Capsules,$29.94 ,https://costplusdrugs.com/medications/aspirin-dipyridamole-er-25-200mg-bottle-of-extended-release-capsules-60-aggrenox/
CostPlusDrugs,Aspirin Low Dose,Tablet Delayed Release,$5.22 ,https://costplusdrugs.com/medications/aspirin-low-dose-81mg-tablet-delayed-release-aspirin-low-dose/
CostPlusDrugs,Atazanavir Sulfate,Bottle of Capsules,$26.93 ,https://costplusdrugs.com/medications/atazanavir-sulfate-300mg-bottle-of-capsules-30-reyataz/
CostPlusDrugs,Atenolol,Tablet,$5.76 ,https://costplusdrugs.com/medications/Atenolol-50mg-Tablet/
CostPlusDrugs,Atenolol-Chlorthalidone,Tablet,$11.30 ,https://costplusdrugs.com/medications/atenolol-chlorthalidone-100mg-25mg-tablet/
CostPlusDrugs,Atomoxetine HCl,Capsule,$13.21 ,https://costplusdrugs.com/medications/atomoxetinehcl-80mg-capsule/
CostPlusDrugs,Atorvastatin,Tablet,$5.34 ,https://costplusdrugs.com/medications/atorvastatin-80mg-tablet/
CostPlusDrugs,Atovaquone,Bottle of Oral Suspension,$120.00 ,https://costplusdrugs.com/medications/atovaquone-750mg_5ml-210ml-bottle-of-suspension/
CostPlusDrugs,Atovaquone-Proguanil HCl,Tablet,$39.74 ,https://costplusdrugs.com/medications/atovaquone-proguanil-hcl-62_5-25mg-tablet-malarone/
CostPlusDrugs,Atropine Sulfate,Solution Dropper,$130.35 ,https://costplusdrugs.com/medications/atropine-sulfate-1-solution-dropper-15-isopto-atropine/
CostPlusDrugs,Azathioprine,Tablet,$9.84 ,https://costplusdrugs.com/medications/azathioprine-50mg-tablet/
CostPlusDrugs,Azathioprine,Tablet,$119.63 ,https://costplusdrugs.com/medications/azathioprine-75mg-tablet-azasan/
CostPlusDrugs,Azelaic Acid,Tube of Gel,$31.59 ,https://costplusdrugs.com/medications/azelaic-acid-15-tube-of-gel-50-finacea/
CostPlusDrugs,Azelastine-Fluticasone,Nasal Spray,$70.27 ,https://costplusdrugs.com/medications/azelastine-fluticasone-137-50mcg-act-nasal-spray-23-dymista/
CostPlusDrugs,Azelastine HCl,Solution,$9.27 ,https://costplusdrugs.com/medications/AzelastineHCl-0_0005-Solution/
CostPlusDrugs,Azelastine HCl,Nasal Spray,$10.46 ,https://costplusdrugs.com/medications/Azelastine HCl-0_001-Solution/
CostPlusDrugs,Azithromycin,Tablet,$9.97 ,https://costplusdrugs.com/medications/azithromycin-600mg-tablet/
CostPlusDrugs,Bacitracin,Tube of Ointment,$129.23 ,https://costplusdrugs.com/medications/bacitracin-zinc-500-unit-g-tube-of-ointment-28-baciguent/
CostPlusDrugs,Bacitracin-Polymyxin B,Tube of Ointment,$15.58 ,https://costplusdrugs.com/medications/bacitracin-polymyxin-b-500-10000-unit-gm-tube-of-ointment-3_5-polycin/
CostPlusDrugs,Bacitra-Neomycin-Polymyxin-HC,Tube of Ointment,$16.96 ,https://costplusdrugs.com/medications/bacitra-neomycin-polymyxin-hc-1-tube-of-ointment-3_5-neo-polycin-hc/
CostPlusDrugs,Baclofen,Tablet,$5.86 ,https://costplusdrugs.com/medications/baclofen-5mg-tablet/
CostPlusDrugs,Balsalazide Disodium,Capsule,$13.91 ,https://costplusdrugs.com/medications/balsalazide-disodium-750mg-capsule-colazal/
CostPlusDrugs,B-Complex W/C & Folic Acid,Capsule,$8.10 ,https://costplusdrugs.com/medications/b-complex-w-c-folic-acid-1mg-capsule-wescaps/
CostPlusDrugs,Benazepril HCl,Tablet,$5.79 ,https://costplusdrugs.com/medications/benazepril-hcl-5mg-tablet/
CostPlusDrugs,Benazepril-Hydrochlorothiazide,Tablet,$8.32 ,https://costplusdrugs.com/medications/benazepril-hydrochlorothiazide-5-6_25mg-tablet-lotensin-hct/
CostPlusDrugs,Benzonatate,Capsule,$7.24 ,https://costplusdrugs.com/medications/benzonatate-200mg-capsule/
CostPlusDrugs,Benztropine Mesylate,Tablet,$7.24 ,https://costplusdrugs.com/medications/benztropine-mesylate-2mg-tablet/
CostPlusDrugs,Bepotastine Besilate,Solution Dropper,$130.73 ,https://costplusdrugs.com/medications/bepotastine-besilate-1_50-solution-dropper-10-bepreve/
CostPlusDrugs,Betamethasone Dipropionate,Cream,$20.49 ,https://costplusdrugs.com/medications/betamethasone-dipropionate-0_05_cream/
CostPlusDrugs,Betamethasone Dipropionate Augmented,Tube of Gel,$127.46 ,https://costplusdrugs.com/medications/betamethasone-dipropionate-augmented-0_0005-ointment/
CostPlusDrugs,Betamethasone Valerate,Tube of Cream,$9.14 ,https://costplusdrugs.com/medications/betamethasone-valerate-0_10-tube-of-cream-15-beta-val/
CostPlusDrugs,Betamethasone Valerate,Tube of Ointment,$13.60 ,https://costplusdrugs.com/medications/betamethasone-valerate-0_10-tube-of-ointment-15-betatrex/
CostPlusDrugs,Betamethasone Valerate,Can of Foam,$27.30 ,https://costplusdrugs.com/medications/betamethasone-valerate-0_12-can-of-foam-50-luxiq/
CostPlusDrugs,Betaxolol HCl,Solution Dropper,$46.11 ,https://costplusdrugs.com/medications/betaxolol-hcl-0_50-solution-dropper-5-betoptic/
CostPlusDrugs,Betaxolol HCl,Tablet,$28.70 ,https://costplusdrugs.com/medications/betaxolol-hcl-20mg-tablet-kerlone/
CostPlusDrugs,Bethanechol Chloride,Tablet,$8.84 ,https://costplusdrugs.com/medications/bethanechol-chloride-5mg-tablet-urecholine/
CostPlusDrugs,Bexarotene,Capsule,$116.78 ,https://costplusdrugs.com/medications/bexarotene-75mg-bottle-of-capsules-100-targretin/
CostPlusDrugs,Bicalutamide,Tablet,$17.33 ,https://costplusdrugs.com/medications/bicalutamide-50mg-tablet-casodex/
CostPlusDrugs,Bimatoprost,Bottle of Solution,$63.81 ,https://costplusdrugs.com/medications/bimatoprost-0_03-bottle-of-solution-5-latisse/
CostPlusDrugs,Bimatoprost,Bottle of Ophthalmic Solution or Eye Dropper,$20.52 ,https://costplusdrugs.com/medications/bimatoprost-0_03-solution-dropper-2_5-lumigan/
CostPlusDrugs,Bismuth Subcitrate Potassium/Metronidaz/Tetracyclin,Tablet,$91.54 ,https://costplusdrugs.com/medications/bismuth-subcitrate-potassium-metronidaz-tetracyclin-140-125-125mg-tablet-pylera/
CostPlusDrugs,Bisoprolol Fumarate,Tablet,$6.76 ,https://costplusdrugs.com/medications/bisoprololfumarate-5mg-tablet/
CostPlusDrugs,Bisoprolol-Hydrochlorothiazide,Tablet,$6.74 ,https://costplusdrugs.com/medications/bisoprolol-hydrochlorothiazide-5mg-6_25mg-tablet/
CostPlusDrugs,Boric Acid,Gel Pump,$523.49 ,https://costplusdrugs.com/medications/boric-acid-10-gel-pump-30-mirvaso/
CostPlusDrugs,Brenzavvy (Bexagliflozin),Bottle of Tablets,$49.85 ,https://costplusdrugs.com/medications/brenzavvy-20mg/
CostPlusDrugs,Brimonidine Tartrate,Ophthalmic Solution,$9.60 ,https://costplusdrugs.com/medications/brimonidinetartrate-0_002-solution/
CostPlusDrugs,Brimonidine Tartrate,Bottle of Ophthalmic Solution or Eye Dropper,$55.53 ,https://costplusdrugs.com/medications/brimonidine-tartrate-0_15-solution-dropper-5-alphagan-p/
CostPlusDrugs,Brimonidine Tartrate-Timolol,Bottle of Ophthalmic Solution or Eye Dropper,$16.03 ,https://costplusdrugs.com/medications/brimonidine-tartrate-timolol-0_2-0_5-15ml-bottle-of-solution/
CostPlusDrugs,Brinzolamide,Bottle of Ophthalmic Suspension or Eye Dropper,$147.51 ,https://costplusdrugs.com/medications/brinzolamide-1-suspension-dropper-15-azopt/
CostPlusDrugs,Bromfenac Sodium (Once-Daily),Solution Dropper,$23.25 ,https://costplusdrugs.com/medications/bromfenac-sodium-once-daily-0_09-solution-dropper-1_7-bromday/
CostPlusDrugs,Bromocriptine Mesylate,Tablet,$36.05 ,https://costplusdrugs.com/medications/bromocriptine-mesylate-5mg-capsule-parlodel/
CostPlusDrugs,Budesonide,Box of 30 Vials,$31.14 ,https://costplusdrugs.com/medications/budesonide-0_5mg_2ml-inhalation-suspension-60ml/
CostPlusDrugs,Budesonide,Carton of Ampules,$166.00 ,https://costplusdrugs.com/medications/budesonide-1mg-2ml-carton-of-ampules-30-pulmicort/
CostPlusDrugs,Budesonide,Pack of Foam Canisters,$623.34 ,https://costplusdrugs.com/medications/budesonide-er-9mg-tablet-extended-release-uceris/
CostPlusDrugs,Budesonide DR,Delayed Release Capsule,$15.34 ,https://costplusdrugs.com/medications/budesonide-dr-3mg-capsule/
CostPlusDrugs,Budesonide-Formoterol Fumarate,Aerosol Inhaler,$182.39 ,https://costplusdrugs.com/medications/budesonide-formoterol-fumarate-80-4_5mcg-act-aerosol-inhaler-10_2-symbicort/
CostPlusDrugs,Bumetanide,Tablet,$8.81 ,https://costplusdrugs.com/medications/bumetanide-2mg-tablet-bumex/
CostPlusDrugs,Bupropion HCl,Tablet,$7.38 ,https://costplusdrugs.com/medications/BupropionHCl-75mg-Tablet/
CostPlusDrugs,Bupropion HCl ER,Tablet Extended Release,$11.48 ,https://costplusdrugs.com/medications/bupropion-hcl-er-smoking-det-150mg-tablet-extended-release-zyban/
CostPlusDrugs,Bupropion SR,Sustained Release Tablet,$5.99 ,https://costplusdrugs.com/medications/bupropionhclextendedrelease-200mg-tablet/
CostPlusDrugs,Bupropion XL,Extended Release Tablet,$6.70 ,https://costplusdrugs.com/medications/bupropionxl-300mg-tablet/
CostPlusDrugs,Buspirone HCl,Tablet,$5.48 ,https://costplusdrugs.com/medications/BuspironeHCl-7_5mg-Tablet/
CostPlusDrugs,Cabergoline,Pack of Tablets,$13.40 ,https://costplusdrugs.com/medications/cabergoline-0_5mg-pack-of-tablets-8-dostinex/
CostPlusDrugs,Calcipotriene,Bottle of Solution,$183.25 ,https://costplusdrugs.com/medications/calcipotriene-0_01-tube-of-ointment-60-dovonex/
CostPlusDrugs,Calcipotriene-Betameth Diprop,Bottle of Suspension,$145.30 ,https://costplusdrugs.com/medications/calcipotriene-betameth-diprop-0_005-0_064-tube-of-ointment-60-taclonex/
CostPlusDrugs,Calcitonin (Salmon),Nasal Spray,$57.86 ,https://costplusdrugs.com/medications/calcitonin-salmon-200-unit-act-nasal-spray-3_7-miacalcin/
CostPlusDrugs,Calcitriol,Capsule,$7.01 ,https://costplusdrugs.com/medications/calcitriol-1mcg-ml-solution-dropper-15-rocaltrol/
CostPlusDrugs,Calcium Acetate,Capsule,$8.28 ,https://costplusdrugs.com/medications/calciumacetate-667mg-capsule/
CostPlusDrugs,Calcium Acetate (Phos Binder),Tablet,$8.80 ,https://costplusdrugs.com/medications/calcium-acetate-phos-binder-667mg-tablet-calphron/
CostPlusDrugs,Candesartan Cilexetil,Tablet,$16.16 ,https://costplusdrugs.com/medications/candesartan-cilexetil-8mg-tablet-atacand/
CostPlusDrugs,Candesartan Cilexetil-HCTZ,Tablet,$19.08 ,https://costplusdrugs.com/medications/candesartan-cilexetil-hctz-32-25mg-tablet-atacand-hct/
CostPlusDrugs,Capecitabine,Tablet,$12.60 ,https://costplusdrugs.com/medications/capecitabine-500mg-tablet/
CostPlusDrugs,Captopril,Tablet,$10.30 ,https://costplusdrugs.com/medications/captopril-50mg-tablet-capoten/
CostPlusDrugs,Captopril-Hydrochlorothiazide,Tablet,$33.78 ,https://costplusdrugs.com/medications/captopril-hydrochlorothiazide-50-25mg-tablet-capozide/
CostPlusDrugs,Carbamazepine,Chewable Tablet,$8.77 ,https://costplusdrugs.com/medications/carbamazepine-100mg-5ml-bottle-of-suspension-450-tegretol/
CostPlusDrugs,Carbamazepine,Tablet,$6.66 ,https://costplusdrugs.com/medications/Carbamazepine-200mg-Tablet/
CostPlusDrugs,Carbamazepine ER,Capsule Extended Release,$39.94 ,https://costplusdrugs.com/medications/carbamazepine-er-300mg-capsule-extended-release-carbatrol/
CostPlusDrugs,Carbamazepine ER,Tablet Extended Release,$7.25 ,https://costplusdrugs.com/medications/carbamazepine-er-400mg-tablet-extended-release-tegretol-xr/
CostPlusDrugs,Carbidopa,Tablet,$13.62 ,https://costplusdrugs.com/medications/carbidopa-25mg-tablet-lodosyn/
CostPlusDrugs,Carbidopa-Levodopa,Tablet,$6.50 ,https://costplusdrugs.com/medications/carbidopa-levodopa-25-250mg-tablet-sinemet/
CostPlusDrugs,Carbidopa-Levodopa-Entacapone,Tablet,$14.88 ,https://costplusdrugs.com/medications/carbidopa-levodopa-entacapone-37_5mg-150mg-200mg-tablet/
CostPlusDrugs,Carbidopa-Levodopa-Entacapone,Tablet,$21.54 ,https://costplusdrugs.com/medications/carbidopa-levodopa-entacapone-50-200-200mg-tablet-stalevo-200/
CostPlusDrugs,Carbidopa-Levodopa ER,Extended Release Tablet,$7.11 ,https://costplusdrugs.com/medications/carbidopa-levodopa-er-50mg-200mg-tablet/
CostPlusDrugs,Carbinoxamine Maleate,Tablet,$14.77 ,https://costplusdrugs.com/medications/carbinoxamine-maleate-4mg-tablet-arbinoxa/
CostPlusDrugs,CaroSpir (Spironolactone),Bottle of Suspension,$482.82 ,https://costplusdrugs.com/medications/spironolactone-25mg-5ml-bottle-of-suspension-118-carospir/
CostPlusDrugs,Carteolol HCl,Solution Dropper,$19.44 ,https://costplusdrugs.com/medications/carteolol-hcl-1-solution-dropper-5-ocupress/
CostPlusDrugs,Carvedilol,Tablet,$5.34 ,https://costplusdrugs.com/medications/carvedilol-6_25mg-tablet/
CostPlusDrugs,Carvedilol Phosphate ER,Extended Release Capsule,$181.05 ,https://costplusdrugs.com/medications/carvedilol-phosphate-er-80mg-capsule/
CostPlusDrugs,Cefaclor,Capsule,$18.35 ,https://costplusdrugs.com/medications/cefaclor-500mg-capsule-ceclor/
CostPlusDrugs,Cefaclor ER,Tablet Extended Release,$334.82 ,https://costplusdrugs.com/medications/cefaclor-er-500mg-tablet-extended-release-ceclor-cd/
CostPlusDrugs,Cefadroxil,Capsule,$13.62 ,https://costplusdrugs.com/medications/cefadroxil-500mg-capsule/
CostPlusDrugs,Cefdinir,Capsule,$12.19 ,https://costplusdrugs.com/medications/Cefdinir-300mg-Capsule/
CostPlusDrugs,Cefixime,Capsule,$281.00 ,https://costplusdrugs.com/medications/cefixime-400mg-capsule-suprax/
CostPlusDrugs,Cefpodoxime Proxetil,Tablet,$22.04 ,https://costplusdrugs.com/medications/cefpodoxime-proxetil-200mg-tablet-vantin/
CostPlusDrugs,Cefprozil,Tablet,$13.15 ,https://costplusdrugs.com/medications/cefprozil-500mg-tablet-cefzil/
CostPlusDrugs,Cefuroxime Axetil,Tablet,$10.22 ,https://costplusdrugs.com/medications/cefuroximeaxetil-500mg-tablet/
CostPlusDrugs,Celecoxib,Capsule,$6.05 ,https://costplusdrugs.com/medications/celecoxib-50mg-capsule/
CostPlusDrugs,Cephalexin,Capsule,$7.20 ,https://costplusdrugs.com/medications/cephalexin-125mg5ml-reconstitutedsuspension/
CostPlusDrugs,Cephalexin,Tablet,$35.53 ,https://costplusdrugs.com/medications/cephalexin-250mg-tablet-keftab/
CostPlusDrugs,Cetirizine HCl,Tablet,$5.58 ,https://costplusdrugs.com/medications/cetirizine-hcl-5mg-tablet/
CostPlusDrugs,Cevimeline HCl,Bottle of Capsules,$53.30 ,https://costplusdrugs.com/medications/cevimeline-hcl-30mg-bottle-of-capsules-100-evoxac/
CostPlusDrugs,Chlorhexidine Gluconate,Bottle of Solution,$7.78 ,https://costplusdrugs.com/medications/chlorhexidine-gluconate-0_12-bottle-of-solution-473-peridex/
CostPlusDrugs,Chloroquine Phosphate,Tablet,$74.46 ,https://costplusdrugs.com/medications/chloroquine-phosphate-500mg-tablet-aralen/
CostPlusDrugs,Chlorpromazine HCl,Tablet,$8.74 ,https://costplusdrugs.com/medications/chlorpromazinehcl-50mg-tablet/
CostPlusDrugs,Chlorthalidone,Tablet,$5.85 ,https://costplusdrugs.com/medications/chlorthalidone-50mg-tablet/
CostPlusDrugs,Chlorzoxazone,Tablet,$9.48 ,https://costplusdrugs.com/medications/chlorzoxazone-500mg-tablet-parafon-forte-dsc/
CostPlusDrugs,Chlorzoxazone,Tablet,$15.81 ,https://costplusdrugs.com/medications/chlorzoxazone-750mg-tablet-lorzone/
CostPlusDrugs,Cholestyramine,Can of Powder,$32.60 ,https://costplusdrugs.com/medications/cholestyramine-4gm-dose-can-of-powder-378-questran/
CostPlusDrugs,Cholestyramine Light,Can of Powder,$28.37 ,https://costplusdrugs.com/medications/cholestyramine-light-4gm-dose-can-of-powder-239_4-prevalite/
CostPlusDrugs,Choline Fenofibrate,Capsule Delayed Release,$6.85 ,https://costplusdrugs.com/medications/choline-fenofibrate-45mg-capsule-delayed-release-trilipix/
CostPlusDrugs,Ciclopirox,Solution,$10.70 ,https://costplusdrugs.com/medications/ciclopirox-0_08-solution/
CostPlusDrugs,Ciclopirox,Tube of Gel,$42.78 ,https://costplusdrugs.com/medications/ciclopiroxolamine-0_77-cream/
CostPlusDrugs,Cilostazol,Tablet,$7.74 ,https://costplusdrugs.com/medications/cilostazol-50mg-tablet/
CostPlusDrugs,Cimetidine,Tablet,$9.83 ,https://costplusdrugs.com/medications/cimetidine-800mg-tablet-tagamet/
CostPlusDrugs,Cinacalcet HCl,Tablet,$10.83 ,https://costplusdrugs.com/medications/cinacalcet-hcl-90mg-tablet/
CostPlusDrugs,Ciprofloxacin,Tablet,$8.69 ,https://costplusdrugs.com/medications/ciprofloxacin-750mg-tablet/
CostPlusDrugs,Ciprofloxacin-Dexamethasone,Ear Dropper,$69.76 ,https://costplusdrugs.com/medications/ciprofloxacin-dexamethasone-0_3-0_1-ear-dropper-7_5-ciprodex/
CostPlusDrugs,Ciprofloxacin HCl,Ophthalmic Solution,$10.96 ,https://costplusdrugs.com/medications/ciprofloxacin-hcl-0_3-ophthalmic-solution-10ml/
CostPlusDrugs,Citalopram Hydrobromide,Tablet,$5.44 ,https://costplusdrugs.com/medications/CitalopramHydrobromide-40mg-Tablet/
CostPlusDrugs,Clarithromycin,Tablet,$9.73 ,https://costplusdrugs.com/medications/clarithromycin-500mg-tablet/
CostPlusDrugs,Clarithromycin ER,Extended Release Tablet,$69.66 ,https://costplusdrugs.com/medications/clarithromycin-er-500mg-tablet/
CostPlusDrugs,Clemastine Fumarate,Tablet,$18.13 ,https://costplusdrugs.com/medications/clemastine-fumarate-2_68mg-tablet-tavist/
CostPlusDrugs,Climara (Estradiol),Patch Weekly,$53.30 ,https://costplusdrugs.com/medications/climara-0_1mg-24hr-patch-weekly-4/
CostPlusDrugs,Clindamycin,Capsule,$7.89 ,https://costplusdrugs.com/medications/clindamycin-phosphate-2-tube-of-cream-40-cleocin/
